DATE,,PUI,,,DAILY CASES,,,,,DISCHARGED,,,ACTIVE(COVID-19 INFECTION),,   ,ICU,,,DEATH,
,,DAILY,TOTAL,,LOCAL,IMPORT,DAILY(TOTAL),TOTAL,,DAILY,TOTAL,,DAILY,TOTAL,,DAILY,TOTAL,,DAILY,TOTAL
12/23/2020,,,,,1332,16,1348,98737,,710,80014,,633,18279,,-9,102,,5,444
12/24/2020,,,,,1579,2,1581,100318,,1085,81099,,494,18773,,0,102,,2,446
12/25/2020,,,,,1245,2,1247,101565,,1441,82540,,-197,18576,,6,108,,3,449
12/26/2020,,,,,2324,11,2335,103900,,874,83414,,1459,20035,,0,108,,2,451
12/27/2020,,,,,1191,5,1196,105096,,997,84411,,198,20233,,3,111,,1,452
12/28/2020,,,,,1591,3,1594,106690,,1181,85592,,410,20643,,5,116,,3,455
12/29/2020,,,,,1915,10,1925,108615,,1123,86715,,800,21443,,1,117,,2,457
12/30/2020,,,,,1868,2,1870,110485,,745,87460,,1119,22562,,14,131,,6,463
12/31/2020,,,,,2512,13,2525,113010,,1481,88941,,1036,23598,,0,131,,8,471
1/1/2021,,,,,2066,2,2068,115078,,2230,91171,,-165,23433,,-5,126,,3,474
1/2/2021,,,,,2286,9,2295,117373,,3321,94492,,-1035,22398,,-1,125,,9,483
1/3/2021,,,,,1699,5,1704,119077,,2726,97218,,-1033,21365,,-1,124,,11,494
1/4/2021,,,,,1733,8,1741,120818,,1010,98228,,724,22089,,-2,122,,7,501
1/5/2021,,,,,2011,16,2027,122845,,1221,99449,,798,22887,,1,123,,8,509
1/6/2021,,,,,2589,4,2593,125438,,1129,100578,,1460,24347,,18,141,,4,513
1/7/2021,,,,,3021,6,3027,128465,,2145,102723,,874,25221,,1,142,,8,521
1/8/2021,,,,,2641,2,2643,131108,,2708,105431,,-81,25140,,28,170,,16,537
1/9/2021,,,,,2446,5,2451,133559,,1401,106832,,1045,26185,,7,177,,5,542
1/10/2021,,,,,2426,7,2433,135992,,1277,108109,,1147,27332,,-6,171,,9,551
1/11/2021,,,,,2226,6,2232,138224,,1006,109115,,1222,28554,,16,187,,4,555
1/12/2021,,,,,3303,6,3309,141533,,1469,110584,,1836,30390,,3,190,,4,559
1/13/2021,PKP 2021 ,,,,2983,2,2985,144518,,994,111578,,1987,32377,,7,197,,4,563
1/14/2021,,,,,3330,7,3337,147855,,1710,113288,,1612,33989,,-2,195,,15,578
1/15/2021,,,,,3206,5,3211,151066,,1939,115227,,1264,35253,,9,204,,8,586
1/16/2021,,,,,4021,8,4029,155095,,2148,117375,,1873,37126,,1,205,,8,594
1/17/2021,,,,,3324,15,3339,158434,,2676,120051,,656,37782,,35,240,,7,601
1/18/2021,,,,,3299,7,3306,161740,,2293,122344,,1009,38791,,-14,226,,4,605
1/19/2021,,,,,3624,7,3631,165371,,2944,125288,,673,39464,,12,238,,14,619
1/20/2021,,,,,4003,5,4008,169379,,2374,127662,,1623,41087,,8,246,,11,630
1/21/2021,,,,,3162,8,3170,172549,,2490,130152,,668,41755,,14,260,,12,642
1/22/2021,,,,,3625,6,3631,176180,,2554,132706,,1059,42814,,-9,251,,18,660
1/23/2021,,,,,4264,11,4275,180455,,4313,137019,,-45,42769,,9,260,,7,667
1/24/2021,,,,,3339,7,3346,183801,,4427,141446,,-1092,41677,,5,265,,11,678
1/25/2021,,,,,3040,8,3048,186849,,3638,145084,,-601,41076,,-4,261,,11,689
1/26/2021,,,,,3583,2,3585,190434,,4076,149160,,-502,40574,,19,280,,11,700
1/27/2021,,,,,3674,6,3680,194114,,1858,151018,,1815,42389,,34,314,,7,707
1/28/2021,,,,,4086,8,4094,198208,,3281,154299,,803,43192,,-11,303,,10,717
1/29/2021,,,,,5718,7,5725,203933,,3423,157722,,2286,45478,,-2,301,,16,733
1/30/2021,,,,,5723,5,5728,209661,,3805,161527,,1910,47388,,18,319,,13,746
1/31/2021,,,,,5295,3,5298,214959,,4522,166049,,762,48150,,-6,313,,14,760
2/1/2021,,,,,4205,9,4214,219173,,4280,170329,,-76,48074,,3,316,,10,770
2/2/2021,,,,,3450,5,3455,222628,,3661,173990,,-227,47847,,11,327,,21,791
2/3/2021,,,,,4278,6,4284,226912,,3804,177794,,462,48309,,-20,307,,18,809
2/4/2021,,,,,4568,3,4571,231483,,4092,181886,,462,48771,,1,308,,17,826
2/5/2021,,,,,3387,4,3391,234874,,3392,185278,,-20,48751,,2,310,,19,845
2/6/2021,,,,,3843,4,3847,238721,,1692,186970,,2143,50894,,-5,305,,12,857
2/7/2021,,,,,3723,8,3731,242452,,3369,190339,,347,51241,,-13,292,,15,872
2/8/2021,,,,,3099,1,3100,245552,,2340,192679,,736,51977,,-10,282,,24,896
2/9/2021,,,,,2758,6,2764,248316,,3887,196566,,-1136,50841,,7,289,,13,909
2/10/2021,,,,,3283,5,3288,251604,,1929,198495,,1345,52186,,-4,285,,14,923
2/11/2021,,,,,3369,15,3384,254988,,3774,202269,,-403,51783,,-30,255,,13,936
2/12/2021,,,,,3311,7,3318,258306,,3505,205774,,-204,51579,,3,258,,17,953
2/13/2021,,,,,3498,1,3499,261805,,3515,209289,,-21,51558,,5,263,,5,958
2/14/2021,,,,,2461,3,2464,264269,,4525,213814,,-2068,49490,,-3,260,,7,965
2/15/2021,,,,,2175,1,2176,266445,,4521,218335,,-2355,47135,,0,260,,10,975
2/16/2021,,,,,2720,0,2720,269165,,5718,224053,,-3006,44129,,-7,253,,8,983
2/17/2021,,,,,2991,7,2998,272163,,5709,229762,,-2733,41396,,-22,231,,22,1005
2/18/2021,,,,,2708,4,2712,274875,,5320,235082,,-2633,38763,,-4,227,,25,1030
2/19/2021,,,,,2919,17,2936,277811,,4889,239971,,-1966,36797,,-7,220,,13,1043
2/20/2021,,,,,2461,0,2461,280272,,4782,244753,,-2329,34468,,-13,207,,8,1051
2/21/2021,,,,,3291,6,3297,283569,,4456,249209,,-1164,33304,,2,209,,5,1056
2/22/2021,,,,,2189,3,2192,285761,,3414,252623,,-1228,32076,,-10,199,,6,1062
2/23/2021,,,,,2464,4,2468,288229,,4055,256678,,-1601,30475,,-3,196,,14,1076
2/24/2021,,,,,3544,1,3545,291774,,3331,260009,,202,30677,,-7,189,,12,1088
2/25/2021,,,,,1918,6,1924,293698,,3752,263761,,-1840,28837,,16,205,,12,1100
2/26/2021,,,,,2246,7,2253,295951,,3085,266846,,-843,27994,,-4,201,,11,1111
2/27/2021,,,,,2363,1,2364,298315,,3320,270166,,-966,27028,,-11,190,,10,1121
2/28/2021,,,,,2435,2,2437,300752,,3251,273417,,-823,26205,,12,202,,9,1130
3/1/2021,,,,,1821,7,1828,302580,,2486,275903,,-663,25542,,-4,198,,5,1135
3/2/2021,,,,,1552,3,1555,304135,,2528,278431,,-979,24563,,6,204,,6,1141
3/3/2021,,,,,1743,2,1745,305880,,2276,280707,,-538,24025,,-9,195,,7,1148
3/4/2021,,,,,2054,9,2063,307943,,2922,283629,,-864,23161,,-2,193,,5,1153
3/5/2021,,,,,2149,5,2154,310097,,3275,286904,,-1127,22034,,-9,184,,6,1159
3/6/2021,,,,,1677,3,1680,311777,,2548,289452,,-875,21159,,-12,172,,7,1166
3/7/2021,,,,,1673,10,1683,313460,,2506,291958,,-826,20333,,2,174,,3,1169
3/8/2021,,,,,1520,9,1529,314989,,2076,294034,,-555,19778,,-14,160,,8,1177
3/9/2021,,,,,1278,2,1280,316269,,2345,296379,,-1074,18704,,-5,155,,9,1186
3/10/2021,,,,,1438,10,1448,317717,,2137,298516,,-694,18010,,-4,151,,5,1191
3/11/2021,,,,,1642,5,1647,319364,,2104,300620,,-466,17544,,-4,147,,9,1200
3/12/2021,,,,,1568,7,1575,320939,,2042,302662,,-470,17074,,0,147,,3,1203
3/13/2021,,,,,1458,12,1470,322409,,1830,304492,,-363,16711,,15,162,,3,1206
3/14/2021,,,,,1340,14,1354,323763,,1782,306274,,-432,16279,,-4,158,,4,1210
3/15/2021,,,,,1199,9,1208,324971,,1973,308247,,-768,15511,,-3,155,,3,1213
3/16/2021,,,,,1059,4,1063,326034,,1365,309612,,-307,15204,,-3,152,,5,1218
3/17/2021,,,,,1212,7,1219,327253,,1346,310958,,-129,15075,,2,154,,2,1220
3/18/2021,,,,,1207,6,1213,328466,,1503,312461,,-293,14782,,1,155,,3,1223
3/19/2021,,,,,1565,11,1576,330042,,1996,314457,,-422,14360,,-4,151,,2,1225
3/20/2021,,,,,1669,2,1671,331713,,1585,316042,,82,14442,,0,151,,4,1229
3/21/2021,,,,,1316,11,1327,333040,,1247,317289,,76,14518,,3,154,,4,1233
3/22/2021,,,,,1108,8,1116,334156,,1495,318784,,-384,14134,,2,156,,5,1238
3/23/2021,,,,,1375,9,1384,335540,,1058,319842,,320,14454,,-8,148,,6,1244
3/24/2021,,,,,1263,5,1268,336808,,1083,320925,,183,14637,,13,161,,2,1246
3/25/2021,,,,,1359,1,1360,338168,,1491,322416,,-133,14504,,-4,157,,2,1248
3/26/2021,,,,,1243,32,1275,339443,,1509,323925,,-235,14269,,4,161,,1,1249
3/27/2021,,,,,1194,5,1199,340642,,1257,325182,,-60,14209,,6,167,,2,1251
3/28/2021,,,,,1293,9,1302,341944,,1127,326309,,171,14380,,2,169,,4,1255
3/29/2021,,,,,933,8,941,342885,,1097,327406,,-161,14219,,-3,166,,5,1260
3/30/2021,,,,,1125,8,1133,344018,,1148,328554,,-20,14199,,-5,161,,5,1265
3/31/2021,,,,,1480,2,1482,345500,,1070,329624,,405,14604,,3,164,,7,1272
4/1/2021,,,,,1158,20,1178,346678,,1377,331001,,-205,14399,,-1,163,,6,1278
4/2/2021,,,,,1268,26,1294,347972,,1442,332443,,-153,14246,,5,168,,5,1283
4/3/2021,,,,,1631,7,1638,349610,,1449,333892,,186,14432,,-1,167,,3,1286
4/4/2021,,,,,1342,7,1349,350959,,1270,335162,,77,14509,,19,186,,2,1288
4/5/2021,,,,,1061,9,1070,352029,,1294,336456,,-231,14278,,-6,180,,7,1295
4/6/2021,,,,,1276,24,1300,353329,,1412,337868,,-117,14161,,9,189,,5,1300
4/7/2021,,,,,1126,13,1139,354468,,1199,339067,,-64,14097,,5,194,,4,1304
4/8/2021,,,,,1268,17,1285,355753,,1175,340242,,106,14203,,-8,186,,4,1308
4/9/2021,,,,,1834,20,1854,357607,,1247,341489,,602,14805,,-17,169,,5,1313
4/10/2021,,,,,1505,5,1510,359117,,1248,342737,,254,15059,,25,194,,8,1321
4/11/2021,,,,,1731,8,1739,360856,,1216,343953,,515,15574,,-11,183,,8,1329
4/12/2021,,,,,1305,12,1317,362173,,1052,345005,,261,15835,,5,188,,4,1333
4/13/2021,,,,,1758,9,1767,363940,,1290,346295,,465,16300,,11,199,,12,1345
4/14/2021,,,,,1883,6,1889,365829,,1485,347780,,396,16696,,5,204,,8,1353
4/15/2021,,,,,2129,19,2148,367977,,1259,349039,,879,17575,,8,212,,10,1363
4/16/2021,,,,,2522,29,2551,370528,,1524,350563,,1025,18600,,15,227,,2,1365
4/17/2021,,,,,2319,12,2331,372859,,1832,352395,,494,19094,,-2,225,,5,1370
4/18/2021,,,,,2185,10,2195,375054,,1427,353822,,760,19854,,-6,219,,8,1378
4/19/2021,,,,,2065,13,2078,377132,,1402,355224,,668,20522,,9,228,,8,1386
4/20/2021,,,,,2334,7,2341,379473,,1592,356816,,746,21268,,21,249,,3,1389
4/21/2021,,,,,2328,12,2340,381813,,1910,358726,,419,21687,,-1,248,,11,1400
4/22/2021,,,,,2846,29,2875,384688,,2541,361267,,327,22014,,0,248,,7,1407
4/23/2021,,,,,2843,4,2847,387535,,2341,363608,,498,22512,,12,260,,8,1415
4/24/2021,,,,,2691,26,2717,390252,,2292,365900,,414,22926,,12,272,,11,1426
4/25/2021,,,,,2680,10,2690,392942,,1853,367753,,827,23753,,11,283,,10,1436
4/26/2021,,,,,2773,3,2776,395718,,1803,369556,,960,24713,,17,300,,13,1449
4/27/2021,,,,,2728,5,2733,398451,,2019,371575,,701,25414,,-6,294,,13,1462
4/28/2021,,,,,3129,13,3142,401593,,1822,373397,,1305,26719,,12,306,,15,1477
4/29/2021,,,,,3323,9,3332,404925,,1943,375340,,1374,28093,,3,309,,15,1492
4/30/2021,,,,,3786,2,3788,408713,,2640,377980,,1134,29227,,19,328,,14,1506
5/1/2021,,,,,2865,16,2881,411594,,2462,380442,,404,29631,,9,337,,15,1521
5/2/2021,,,,,3408,10,3418,415012,,2698,383140,,708,30339,,8,345,,12,1533
5/3/2021,,,,,2496,4,2500,417512,,2068,385208,,414,30753,,7,352,,18,1551
5/4/2021,,,,,3114,6,3120,420632,,2334,387542,,763,31516,,-14,338,,23,1574
5/5/2021,,,,,3737,7,3744,424376,,2304,389846,,1423,32939,,-10,328,,17,1591
5/6/2021,,,,,3535,16,3551,427927,,2709,392555,,823,33762,,26,354,,19,1610
5/7/2021,,,,,4493,5,4498,432425,,3449,396004,,1027,34789,,18,372,,22,1632
5/8/2021,,,,,4514,5,4519,436944,,2719,398723,,1775,36564,,21,393,,25,1657
5/9/2021,,,,,3727,6,3733,440677,,3211,401934,,496,37060,,23,416,,26,1683
5/10/2021,,,,,3802,5,3807,444484,,3454,405388,,336,37396,,18,434,,17,1700
5/11/2021,,,,,3968,5,3973,448457,,2848,408236,,1103,38499,,19,453,,22,1722
5/12/2021,,,,,4758,7,4765,453222,,3124,411360,,1602,40101,,16,469,,39,1761
5/13/2021,,,,,4852,3,4855,458077,,3347,414707,,1481,41582,,12,481,,27,1788
5/14/2021,,,,,4112,1,4113,462190,,4190,418897,,-111,41471,,1,482,,34,1822
5/15/2021,,,,,4131,9,4140,466330,,3432,422329,,664,42135,,21,503,,44,1866
5/16/2021,,,,,3778,2,3780,470110,,3990,426319,,-246,41889,,17,520,,36,1902
5/17/2021,,,,,4443,3,4446,474556,,2784,429103,,1617,43506,,2,522,,45,1947
5/18/2021,,,,,4860,5,4865,479421,,3497,432600,,1321,44827,,9,531,,47,1994
5/19/2021,,,,,6072,3,6075,485496,,3516,436116,,2513,47340,,28,559,,46,2040
5/20/2021,,,,,6804,2,6806,492302,,3916,440032,,2831,50171,,28,587,,59,2099
5/21/2021,,,,,6491,2,6493,498795,,4508,444540,,1935,52106,,56,643,,50,2149
5/22/2021,,,,,6317,3,6320,505115,,4694,449234,,1576,53682,,9,652,,50,2199
5/23/2021,,,,,6971,5,6976,512091,,3587,452821,,3340,57022,,29,681,,49,2248
5/24/2021,,,,,6489,20,6509,518600,,3452,456273,,2996,60018,,30,711,,61,2309
5/25/2021,,,,,7285,4,7289,525889,,3789,460062,,3440,63458,,15,726,,60,2369
5/26/2021,,,,,7473,5,7478,533367,,4665,464727,,2750,66208,,30,756,,63,2432
5/27/2021,,,,,7849,8,7857,541224,,4598,469325,,3200,69408,,15,771,,59,2491
5/28/2021,,,,,8288,2,8290,549514,,4814,474139,,3415,72823,,37,808,,61,2552
5/29/2021,,,,,9015,5,9020,558534,,5527,479666,,3395,76218,,36,844,,98,2650
5/30/2021,,,,,6995,4,6999,565533,,5121,484787,,1799,78017,,2,846,,79,2729
5/31/2021,,,,,6821,3,6824,572357,,5251,490038,,1506,79523,,5,851,,67,2796
6/1/2021,PKP 3.0,,,,7103,2,7105,579462,,6083,496121,,951,80474,,21,872,,71,2867
6/2/2021,,,,,7701,2,7703,587165,,5777,501898,,1800,82274,,6,878,,126,2993
6/3/2021,,,,,8145,64,8209,595374,,7049,508947,,1057,83331,,2,880,,103,3096
6/4/2021,,,,,7746,2,7748,603122,,6624,515571,,1038,84369,,3,883,,86,3182
6/5/2021,,,,,7444,8,7452,610574,,6105,521676,,1238,85607,,3,886,,109,3291
6/6/2021,,,,,6227,14,6241,616815,,5133,526809,,1021,86628,,4,890,,87,3378
6/7/2021,,,,,5257,14,5271,622086,,7548,534357,,-2359,84269,,12,902,,82,3460
6/8/2021,,,,,5562,4,5566,627652,,6962,541319,,-1472,82797,,1,903,,76,3536
6/9/2021,,,,,6228,11,6239,633891,,7386,548705,,-1222,81575,,2,905,,75,3611
6/10/2021,,,,,5663,8,5671,639562,,7325,556030,,-1727,79848,,6,911,,73,3684
6/11/2021,,,,,6845,4,6849,646411,,7749,563779,,-984,78864,,1,912,,84,3768
6/12/2021,,,,,5787,6,5793,652204,,8334,572113,,-2617,76247,,2,914,,76,3844
6/13/2021,,,,,5299,5,5304,657508,,8163,580276,,-2923,73324,,3,917,,64,3908
6/14/2021,,,,,4943,6,4949,662457,,6588,586864,,-1699,71625,,4,921,,60,3968
6/15/2021,,,,,5413,6,5419,667876,,6831,593695,,-1513,70112,,1,922,,101,4069
6/16/2021,,,,,5147,3,5150,673026,,7240,600935,,-2163,67949,,2,924,,73,4142
6/17/2021,,,,,5735,3,5738,678764,,7530,608465,,-1852,66097,,-15,909,,60,4202
6/18/2021,,,,,6435,5,6440,685204,,6861,615326,,-495,65602,,-15,894,,74,4276
6/19/2021,,,,,5910,1,5911,691115, ,6918,622244,,-1079,64523,,-8,886,,72,4348
6/20/2021,,,,,5286,7,5293,696408,,5941,628185,,-708,63815,,-6,880,,60,4408
6/21/2021,,,,,4603,8,4611,701019,,5439,633624,,-897,62918,,0,880,,69,4477
6/22/2021,,,,,4741,2,4743,705762,,5557,639181,,-891,62027,,-5,875,,77,4554
6/23/2021,,,,,5237,7,5244,711006,,6372,645553,,-1211,60816,,4,879,,83,4637
6/24/2021,,,,,5833,8,5841,716847,,5411,650964,,346,61162,,-10,869,,84,4721
6/25/2021,,,,,5780,32,5812,722659,,6775,657739,,-1045,60117,,1,870,,82,4803
6/26/2021,,,,,5793,10,5803,728462,,5193,662932,,529,60646,,-4,866,,81,4884
6/27/2021,,,,,5583,3,5586,734048,,4777,667709,,749,61395,,20,886,,60,4944
6/28/2021,,,,,5211,7,5218,739266,,4744,672453,,417,61812,,13,899,,57,5001
6/29/2021,,,,,6423,14,6437,745703,,5298,677751,,1032,62844,,6,905,,107,5108
6/30/2021,,,,,6260,16,6276,751979,,4929,682680,,1285,64129,,0,905,,62,5170
7/1/2021,,,,,6983,5,6988,758967,,5580,688260,,1324,65453,,12,917,,84,5254
7/2/2021,,,,,6979,3,6982,765949,,6278,694538,,631,66084,,-12,905,,73,5327
7/3/2021,,,,,6647,11,6658,772607,,5677,700215,,874,66958,,-13,892,,107,5434
7/4/2021,,,,,6025,20,6045,778652,,5271,705486,,711,67669,,25,917,,63,5497
7/5/2021,,,,,6361,26,6387,785039,,4532,710018,,1778,69447,,6,923,,77,5574
7/6/2021,,,,,7643,11,7654,792693,,4797,714815,,2754,72201,,20,943,,103,5677
7/7/2021,,,,,7071,26,7097,799790,,4863,719678,,2143,74344,,5,948,,91,5768
7/8/2021,,,,,8858,10,8868,808658,,5802,725480,,2931,77275,,4,952,,135,5903
7/9/2021,,,,,9173,7,9180,817838,,5713,731193,,3390,80665,,7,959,,77,5980
7/10/2021,,,,,9342,11,9353,827191,,5910,737103,,3356,84021,,0,959,,87,6067
7/11/2021,,,,,9087,18,9105,836296,,5194,742297,,3820,87841,,2,961,,91,6158
7/12/2021,,,,,8534,40,8574,844870,,5041,747338,,3431,91272,,3,964,,102,6260
7/13/2021,,,,,11052,27,11079,855949,,5990,753328,,4964,96236,,8,972,,125,6385
7/14/2021,,,,,11592,26,11618,867567,,6377,759705,,5123,101359,,-104,868,,118,6503
7/15/2021,,,,,13202,13,13215,880782,,6095,765800,,7010,108369,,17,885,,110,6613
7/16/2021,,,,,12525,16,12541,893323,,6742,772542,,5684,114053,,11,896,,115,6728
7/17/2021,,,,,12509,19,12528,905851,,6629,779171,,5761,119814,,12,908,,138,6866
7/18/2021,,,,,10698,12,10710,916561,,5778,784949,,4779,124593,,1,909,,153,7019
7/19/2021,,,,,10924,48,10972,927533,,6439,791388,,4404,128997,,6,915,,129,7148
7/20/2021,,,,,12358,8,12366,939899,,7567,798955,,4706,133703,,9,924,,93,7241
7/21/2021,,,,,11978,7,11985,951884,,7902,806857,,3884,137587,,3,927,,199,7440
7/22/2021,,,,,13009,25,13034,964918,,8436,815293,,4464,142051,,11,938,,134,7574
7/23/2021,,,,,15541,32,15573,980491,,10094,825387,,5335,147386,,1,939,,144,7718
7/24/2021,,,,,15876,26,15902,996393,,9471,834858,,6247,153633,,11,950,,184,7902
7/25/2021,,,,,17039,6,17045,1013438,,9683,844541,,7270,160903,,20,970,,92,7994
7/26/2021,,,,,14513,3,14516,1027954,,9372,853913,,4937,165840,,39,1009,,207,8201
7/27/2021,,,,,16091,26,16117,1044071,,11526,865439,,4384,170224,,14,1023,,207,8408
7/28/2021,,,,,17399,6,17405,1061476,,12373,877812,,4889,175113,,-7,1016,,143,8551
7/29/2021,,,,,17138,32,17170,1078646,,12930,890742,,4066,179179,,27,1043,,174,8725
7/30/2021,,,,,16823,17,16840,1095486,,12179,902921,,4527,183706,,12,1055,,134,8859
7/31/2021,,,,,17777,9,17786,1113272,,11718,914639,,5903,189609,,7,1062,,165,9024
8/1/2021,,,,,17149,1,17150,1130422,,11326,925965,,5664,195273,,-3,1059,,160,9184
8/2/2021,,,,,15758,6,15764,1146186,,11767,937732,,3778,199051,,4,1063,,219,9403
8/3/2021,,,,,17068,37,17105,1163291,,12297,950029,,4613,203664,,3,1066,,195,9598
8/4/2021,,,,,19796,23,19819,1183110,,12704,962733,,6858,210522,,3,1069,,257,9855
8/5/2021,,,,,20562,34,20596,1203706,,13893,976626,,6539,217061,,9,1078,,164,10019
8/6/2021,,,,,20876,13,20889,1224595,,16394,993020,,4335,221396,,18,1096,,160,10179
8/7/2021,,,,,19241,16,19257,1243852,,16323,1009343,,2724,224120,,1,1097,,210,10389
8/8/2021,,,,,18678,10,18688,1262540,,17055,1026398,,1273,225393,,-2,1095,,360,10749
8/9/2021,,,,,17207,29,17236,1279776,,15187,1041585,,1837,227230,,0,1095,,212,10961
8/10/2021,,,,,19991,0,19991,1299767,,16258,1057843,,3532,230762,,1,1096,,201,11162
8/11/2021,,,,,20765,15,20780,1320547,,17973,1075816,,2596,233358,,-43,1053,,211,11373
8/12/2021,,,,,21610,58,21668,1342215,,17687,1093503,,3663,237021,,6,1059,,318,11691
8/13/2021,,,,,21443,25,21468,1363683,,17025,1110528,,4166,241187,,16,1075,,277,11968
8/14/2021,,,,,20662,8,20670,1384353,,17655,1128183,,2755,243942,,21,1096,,260,12228
8/15/2021,,,,,20532,14,20546,1404899,,16945,1145128,,3319,247261,,-37,1059,,282,12510
8/16/2021,,,,,19721,19,19740,1424639,,17450,1162578,,2016,249277,,-12,1047,,274,12784
8/17/2021,,,,,19624,7,19631,1444270,,16468,1179046,,2870,252147,,7,1054,,293,13077
8/18/2021,,,,,22238,4,22242,1466512,,19680,1198726,,2337,254484,,6,1060,,225,13302
8/19/2021,,,,,22939,9,22948,1489460,,21720,1220446,,1050,255534,,0,1060,,178,13480
8/20/2021,,,,,23541,23,23564,1513024,,21448,1241894,,1883,257417,,2,1062,,233,13713
8/21/2021,,,,,22222,40,22262,1535286,,18576,1260470,,3463,260880,,-27,1035,,223,13936
8/22/2021,,,,,19802,5,19807,1555093,,18200,1278670,,1375,262255,,-9,1026,,232,14168
8/23/2021,,,,,17664,8,17672,1572765,,19053,1297723,,-1555,260700,,14,1040,,174,14342
8/24/2021,,,,,20815,22,20837,1593602,,18613,1316336,,2013,262713,,23,1063,,211,14553
8/25/2021,,,,,22637,5,22642,1616244,,20798,1337134,,1579,264292,,-60,1003,,265,14818
8/26/2021,,,,,24591,8,24599,1640843,,22657,1359791,,1549,265841,,-13,990,,393,15211
8/27/2021,,,,,22055,15,22070,1662913,,21877,1381668,,-146,265695,,-8,982,,339,15550
8/28/2021,,,,,22585,12,22597,1685510,,19492,1401160,,2853,268548,,4,986,,252,15802
8/29/2021,,,,,20572,7,20579,1706089,,20845,1422005,,-551,267997,,23,1009,,285,16087
8/30/2021,,,,,19252,16,19268,1725357,,21257,1443262,,-2284,265713,,24,1033,,295,16382
8/31/2021,,,,,20896,1,20897,1746254,,18465,1461727,,2150,267863,,-28,1005,,282,16664
9/1/2021,,,,,18757,5,18762,1765016,,21073,1482800,,-2589,265274,,2,1007,,278,16942
9/2/2021,,,,,20987,1,20988,1786004,,23473,1506273,,-2734,262540,,410,1417,,249,17191
9/3/2021,,,,,19364,14,19378,1805382,,22399,1528672,,-3351,259189,,-29,1388,,330,17521
9/4/2021,,,,,19047,10,19057,1824439,,21582,1550254,,-2887,256302,,-19,1369,,362,17883
9/5/2021,,,,,20388,8,20396,1844835,,20573,1570827,,-513,255789,,-31,1338,,336,18219
9/6/2021,,,,,17344,8,17352,1862187,,20201,1591028,,-3121,252668,,17,1355,,272,18491
9/7/2021,,,,,18529,18,18547,1880734,,18902,1609930,,-666,252002,,-37,1318,,311,18802
9/8/2021,,,,,19730,3,19733,1900467,,22701,1632631,,-3329,248673,,-19,1299,,361,19163
9/9/2021,,,,,19301,6,19307,1919774,,24855,1657486,,-5871,242802,,11,1310,,323,19486
9/10/2021,,,,,21172,4,21176,1940950,,21476,1678962,,-641,242161,,0,1310,,341,19827
9/11/2021,,,,,19543,7,19550,1960500,,21771,1700733,,-2813,239348,,-63,1247,,592,20419
9/12/2021,,,,,19193,5,19198,1979698,,20980,1721713,,-2074,237274,,51,1298,,292,20711
9/13/2021,,,,,16052,21,16073,1995771,,24813,1746526,,-9153,228121,,14,1312,,413,21124
9/14/2021,,,,,15652,17,15669,2011440,,18053,1764579,,-2847,225274,,-46,1266,,463,21587
9/15/2021,,,,,19484,11,19495,2030935,,18760,1783339,,313,225587,,6,1272,,422,22009
9/16/2021,,,,,18808,7,18815,2049750,,16939,1800278,,1530,227117,,-50,1222,,346,22355
9/17/2021,,,,,17574,3,17577,2067327,,22970,1823248,,-5781,221336,,1,1223,,388,22743
9/18/2021,,,,,15544,5,15549,2082876,,17205,1840453,,-1980,219356,,-58,1165,,324,23067
9/19/2021,,,,,14943,11,14954,2097830,,23469,1863922,,-8891,210465,,29,1194,,376,23443
9/20/2021,,,,,14302,43,14345,2112175,,16814,1880736,,-2770,207695,,-27,1167,,301,23744
9/21/2021,,,,,15732,27,15759,2127934,,16650,1897386,,-1225,206470,,-50,1117,,334,24078
9/22/2021,,,,,14985,5,14990,2142924,,19702,1917088,,-5199,201271,,-2,1115,,487,24565
9/23/2021,,,,,13750,4,13754,2156678,,16628,1933716,,-2990,198281,,-8,1107,,116,24681
9/24/2021,,,,,14545,9,14554,2171232,,16751,1950467,,-2447,195834,,-58,1049,,250,24931
9/25/2021,,,,,13893,6,13899,2185131,,18074,1968541,,-4403,191431,,22,1071,,228,25159
9/26/2021,,,,,13096,8,13104,2198235,,20971,1989512,,-8145,183286,,-13,1058,,278,25437
9/27/2021,,,,,10947,12,10959,2209194,,16430,2005942,,-5729,177557,,-78,980,,258,25695
9/28/2021,,,,,11309,23,11332,2220526,,14160,2020102,,-3068,174489,,6,986,,240,25935
9/29/2021,,,,,12426,8,12434,2232960,,17000,2037102,,-4774,169715,,-7,979,,208,26143
