DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-total) Daily cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
1/25/2020,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,1,1,1,1,1,0,0,0,0
2/5/2020,0,0,0,1,0,1,0,0,0,0
2/6/2020,0,1,1,2,1,2,0,0,0,0
2/7/2020,0,0,0,2,0,2,0,0,0,0
2/8/2020,0,1,1,3,1,3,0,0,0,0
2/9/2020,0,0,0,3,-1,2,1,1,0,0
2/10/2020,0,0,0,3,0,2,0,1,0,0
2/11/2020,0,0,0,3,0,2,0,1,0,0
2/12/2020,0,0,0,3,0,2,0,1,0,0
2/13/2020,0,1,1,4,1,3,0,1,0,0
2/14/2020,0,0,0,4,0,3,0,1,0,0
2/15/2020,0,0,0,4,0,3,0,1,0,0
2/16/2020,0,0,0,4,0,3,0,1,0,0
2/17/2020,0,0,0,4,0,3,0,1,0,0
2/18/2020,0,0,0,4,0,3,0,1,0,0
2/19/2020,0,0,0,4,0,3,0,1,0,0
2/20/2020,0,0,0,4,0,3,0,1,0,0
2/21/2020,0,0,0,4,0,3,0,1,0,0
2/22/2020,0,0,0,4,0,3,0,1,0,0
2/23/2020,0,0,0,4,0,3,0,1,0,0
2/24/2020,0,0,0,4,-2,1,2,3,0,0
2/25/2020,0,0,0,4,0,1,0,3,0,0
2/26/2020,0,0,0,4,0,1,0,3,0,0
2/27/2020,0,1,1,5,0,1,1,4,0,0
2/28/2020,0,1,1,6,1,2,0,4,0,0
2/29/2020,0,0,0,6,0,2,0,4,0,0
3/1/2020,1,0,1,7,1,3,0,4,0,0
3/2/2020,0,0,0,7,0,3,0,4,0,0
3/3/2020,1,0,1,8,1,4,0,4,0,0
3/4/2020,4,0,4,12,3,7,1,5,0,0
3/5/2020,2,0,2,14,2,9,0,5,0,0
3/6/2020,12,0,12,26,12,21,0,5,0,0
3/7/2020,0,0,0,26,-1,20,1,6,0,0
3/8/2020,0,0,0,26,0,20,0,6,0,0
3/9/2020,0,0,0,26,0,20,0,6,0,0
3/10/2020,0,0,0,26,0,20,0,6,0,0
3/11/2020,0,0,0,26,0,20,0,6,0,0
3/12/2020,0,0,0,26,-2,18,2,8,0,0
3/13/2020,0,0,0,26,0,18,0,8,0,0
3/14/2020,1,0,1,27,1,19,0,8,0,0
3/15/2020,43,0,43,70,42,61,1,9,0,0
3/16/2020,34,0,34,104,34,95,0,9,0,0
3/17/2020,8,0,8,112,8,103,0,9,0,0
3/18/2020,5,0,5,117,0,103,5,14,0,0
3/19/2020,10,0,10,127,7,110,3,17,0,0
3/20/2020,16,0,16,143,13,123,3,20,0,0
3/21/2020,30,0,30,173,17,140,13,33,0,0
3/22/2020,17,0,17,190,10,150,6,39,1,1
3/23/2020,52,0,52,242,46,196,5,44,1,2
3/24/2020,15,0,15,257,10,206,5,49,0,2
3/25/2020,13,0,13,270,5,211,7,56,1,3
3/26/2020,51,0,51,321,48,259,3,59,0,3
3/27/2020,16,0,16,337,8,267,7,66,1,4
3/28/2020,7,0,7,344,-5,262,12,78,0,4
3/29/2020,28,0,28,372,13,275,13,91,2,6
3/30/2020,24,0,24,396,9,284,15,106,0,6
3/31/2020,34,0,34,430,26,310,6,112,2,8
4/1/2020,25,0,25,455,-8,302,31,143,2,10
4/2/2020,33,0,33,488,20,322,13,156,0,10
4/3/2020,55,0,55,543,44,366,11,167,0,10
4/4/2020,52,0,52,595,44,410,7,174,1,11
4/5/2020,27,0,27,622,26,436,0,174,1,12
4/6/2020,18,0,18,640,-14,422,32,206,0,12
4/7/2020,31,0,31,671,13,435,18,224,0,12
4/8/2020,14,0,14,685,-17,418,30,254,1,13
4/9/2020,14,0,14,699,11,429,3,257,0,13
4/10/2020,14,0,14,713,-55,374,67,324,2,15
4/11/2020,46,0,46,759,22,396,24,348,0,15
4/12/2020,44,0,44,803,37,433,7,355,0,15
4/13/2020,27,0,27,830,0,433,27,382,0,15
4/14/2020,69,0,69,899,19,452,49,431,1,16
4/15/2020,27,0,27,926,-13,439,39,470,1,17
4/16/2020,26,0,26,952,14,453,11,481,1,18
4/17/2020,19,0,19,971,1,454,17,498,1,19
4/18/2020,14,0,14,985,-16,438,29,527,1,20
4/19/2020,19,0,19,1004,-11,427,30,557,0,20
