Dates,Clusters,END DATE,PERLIS,KEDAH,P.PINANG,PERAK,SELANGOR,N.SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,WP.LABUAN,WP.K.LUMPUR,WP.PUTRAJAYA,,TOTAL,
28-July-2020,SATOK,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,4,
9-August-2020,KURAU,,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,5,
9-August-2020,MERANTI,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,
13-August-2020,TAWAR,,0,81,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,92,
14-August-2020,MUDA,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,
15-August-2020,SALA,,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,
20-August-2020,ALAM,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,7,
21-August-2020,MAJU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,3,
30-August-2020,MV GLEN,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,3,
30-August-2020,TELAGA,,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,
31-August-2020,BUNGA,,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,,11,
1-September-2020,BENTENG LD,14-December-2020,,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,,1085,
4-September-2020,IMMIGRATION DETENTION CENTRE (DTI) SEMENYIH2,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,3,
7-September-2020,SUNGAI,2-November-2020,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,101,
12-September-2020, ,3-December-2020,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,,124,
15-September-2020,PULAU,12-November-2020,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,,53,
17-September-2020,SELAMAT,,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,,25,
19-September-2020,BAKAU,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,4,
20-September-2020,ARA,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,
21-September-2020,KUARTERS,8-November-2020,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,9,
22-September-2020,BANGAU-BANGAU,17-November-2020,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,,432,
23-September-2020,UDIN,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,3,
25-September-2020,ORKIM,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,
27-September-2020,BUANG SAYANG,17-November-2020,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,,17,
27-September-2020,KG.SAKONG,,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,9,
27-September-2020,SETAPAK,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,3,
28-September-2020,JALAN APAS,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,8,
29-September-2020,JALAN BOMBA,8-January-2021,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,,25,
29-September-2020,JALAN UTARA,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2,
29-September-2020,BENTENG PK,17-December-2020,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,,61,
29-September-2020,BAKAWALI,,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,,11,
30-September-2020,TEMBOK,1-February-2021,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1586,
1-October-2020,JALAN MERU,1-December-2020,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,,138,
1-October-2020,JOO HWA,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,5,
1-October-2020,SELASIH,13-November-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,20,
1-October-2020,BAH KETIL,12-November-2020,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,
2-October-2020,SERI SETIA,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,7,
2-October-2020,SERI ANGGERIK,18-November-2020,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,24,
3-October-2020,BAH LUNAS,14-November-2020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,
3-October-2020,BAH ROSE,12-November-2020,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,
3-October-2020,JELOK,10-November-2020,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,5,
4-October-2020,KAU SING,17-November-2020,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,,16,
4-October-2020,EMBUN,4-November-2020,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,,7,
5-October-2020,BAH SINTOK,18-November-2020,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,
5-October-2020,JERAM,16-November-2020,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,
5-October-2020,BAH TANJUNG,4-November-2020,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,8,
6-October-2020,BATU,3-November-2020,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,7,
6-October-2020,RAMAI-RAMAI,4-December-2020,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,,210,
7-October-2020,BAH PUCHONG,7-November-2020,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,,14,
7-October-2020,PENJARA REMAN,1-January-2021,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,,407,
8-October-2020,TUJUH SERANGKAI,3-December-2020,0,0,,0,0,0,0,0,0,0,0,225,0,0,0,0,,225,
8-October-2020,TANAMERA,25-December-2020,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,,50,
8-October-2020,JALAN PANTAI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,,12,
8-October-2020,BAH ARNAB,15-November-2020,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,12,
8-October-2020,BAH BANGAT,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,11,
9-October-2020,BAH SAHABAT,6-November-2020,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,,11,
9-October-2020,ATAP,6-November-2020,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,4,
9-October-2020,BAH LADA,6-November-2020,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,4,
10-October-2020,HIGHWAY,1-December-2020,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,,28,
10-October-2020,BAH MANGGIS,15-February-2021,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,,64,
10-October-2020,UTAMA,24-December-2020,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,,206,
10-October-2020,TASIK,17-November-2020,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,24,
10-October-2020,SIMERA,28-November-2020,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,,75,
10-October-2020,PUTRA,8-November-2020,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,5,
11-October-2020,KASIH,22-November-2020,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,,65,
11-October-2020,SURAT,23-November-2020,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,,38,
11-October-2020,KHAZANAH,,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0, ,21,
